type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",casablanca finance city,4.0,96.0,96.0,3.0,2.0,1.0,5,2400000.0
"appartements, à vendre",aïn sebaâ,3.0,56.0,56.0,2.0,1.0,1.0,1,330000.0
"appartements, à vendre",maarif,5.0,75.0,80.0,2.0,1.0,1.0,20,850000.0
"appartements, à vendre",val fleuri,1.0,102.0,133.0,3.0,2.0,2.0,10,1550000.0
"appartements, à vendre",hay mohammadi,0.0,91.0,151.0,3.0,2.0,3.0,20,900000.0
"appartements, à vendre",val fleuri,5.0,116.0,132.0,3.0,2.0,2.0,15,2100000.0
"appartements, à vendre",beauséjour,4.0,56.0,56.0,2.0,1.0,1.0,15,650000.0
"appartements, à vendre",hay mohammadi,2.0,135.0,270.0,5.0,1.0,2.0,20,1400000.0
"appartements, à vendre",maarif,3.0,117.0,117.0,3.0,2.0,1.0,5,2050000.0
"appartements, à vendre",maarif,3.0,117.0,117.0,3.0,2.0,1.0,5,2050000.0
"appartements, à vendre",oasis,3.0,144.0,144.0,3.0,3.0,2.0,5,2400000.0
"appartements, à vendre",oulfa,3.0,50.0,50.0,2.0,1.0,1.0,10,310000.0
"appartements, à vendre",sidi maarouf,4.0,54.0,54.0,2.0,1.0,1.0,15,330000.0
"appartements, à vendre",bourgogne,7.0,116.0,132.0,3.0,2.0,2.0,15,1650000.0
"appartements, à vendre",sidi maarouf,0.0,400.0,400.0,5.0,4.0,3.0,5,6000000.0
"appartements, à vendre",belvédère,8.0,182.0,182.0,3.0,2.0,2.0,1,1700000.0
"appartements, à vendre",maarif,4.0,118.0,118.0,3.0,2.0,2.0,10,1600000.0
"appartements, à vendre",riviera,3.0,117.0,117.0,3.0,3.0,2.0,1,18000.0
"appartements, à vendre",oasis,1.0,88.0,83.0,2.0,2.0,1.0,1,1300000.0
"appartements, à vendre",maarif,4.0,127.0,127.0,3.0,2.0,2.0,10,1600000.0
"appartements, à vendre",californie,1.0,124.0,135.0,3.0,2.0,2.0,15,1850000.0
"appartements, à vendre",sidi maarouf,0.0,69.0,69.0,1.0,1.0,1.0,1,535000.0
"appartements, à vendre",beauséjour,2.0,150.0,60.0,3.0,3.0,2.0,1,20000.0
"appartements, à vendre",quartier des hôpitaux,3.0,81.0,81.0,2.0,2.0,1.0,1,17000.0
"appartements, à vendre",val fleuri,2.0,156.0,186.0,3.0,2.0,2.0,1,2350000.0
"appartements, à vendre",californie,1.0,48.0,48.0,1.0,1.0,1.0,5,740000.0
"appartements, à vendre",bourgogne,2.0,128.0,128.0,3.0,2.0,2.0,15,1400000.0
"appartements, à vendre",oulfa,1.0,183.0,45.0,3.0,2.0,1.0,1,1845750.0
"appartements, à vendre",sidi moumen,1.0,77.0,77.0,4.0,1.0,1.0,5,924000.0
"appartements, à vendre",derb omar,5.0,93.0,93.0,2.0,2.0,1.0,15,850000.0
"appartements, à vendre",ben ejdia,3.0,50.0,50.0,1.0,1.0,1.0,5,720000.0
"appartements, à vendre",sidi maarouf,1.0,64.0,64.0,2.0,1.0,1.0,5,520000.0
"appartements, à vendre",oulfa,1.0,58.0,58.0,2.0,1.0,1.0,10,280000.0
"appartements, à vendre",aïn sebaâ,1.0,100.0,100.0,3.0,2.0,1.0,1,977600.0
"appartements, à vendre",oulfa,1.0,72.0,72.0,2.0,1.0,1.0,15,790000.0
"appartements, à vendre",sidi maarouf,1.0,186.0,186.0,4.0,4.0,2.0,5,1400000.0
"appartements, à vendre",oulfa,2.0,128.0,128.0,3.0,2.0,1.0,5,1600000.0
"appartements, à vendre",2 mars,5.0,180.0,180.0,3.0,2.0,2.0,20,2500000.0
"appartements, à vendre",oulfa,4.0,50.0,50.0,2.0,1.0,1.0,10,270000.0
"appartements, à vendre",californie,2.0,94.0,94.0,2.0,2.0,1.0,5,1600000.0
"appartements, à vendre",hay hassani,4.0,56.0,56.0,2.0,1.0,1.0,15,430000.0
"appartements, à vendre",sidi maarouf,2.0,78.0,77.0,2.0,2.0,1.0,1,760000.0
"appartements, à vendre",sidi maarouf,1.0,57.0,57.0,2.0,1.0,1.0,1,569999.0
"appartements, à vendre",al fida,2.0,50.0,75.0,1.0,1.0,1.0,15,480000.0
"appartements, à vendre",aïn sebaâ,4.0,78.0,78.0,2.0,2.0,1.0,10,850000.0
"appartements, à vendre",sidi moumen,3.0,68.0,68.0,2.0,1.0,1.0,15,380000.0
"appartements, à vendre",aïn sebaâ,3.0,97.0,101.0,3.0,2.0,1.0,1,990000.0
"appartements, à vendre",aïn sebaâ,1.0,108.0,108.0,3.0,2.0,1.0,1,1100000.0
"appartements, à vendre",bourgogne,1.0,100.0,118.0,2.0,2.0,1.0,15,1600000.0
"appartements, à vendre",sidi maarouf,2.0,68.0,68.0,2.0,1.0,1.0,10,560000.0
"appartements, à vendre",californie,3.0,158.0,158.0,3.0,2.0,2.0,5,2950000.0
"appartements, à vendre",oasis,2.0,148.0,148.0,3.0,3.0,2.0,1,3000000.0
"appartements, à vendre",oulfa,1.0,56.0,46.0,2.0,1.0,1.0,10,455000.0
"appartements, à vendre",oulfa,3.0,67.0,67.0,2.0,1.0,1.0,15,580000.0
"appartements, à vendre",bourgogne,4.0,57.0,67.0,2.0,1.0,1.0,15,850000.0
"appartements, à vendre",aïn sebaâ,3.0,68.0,68.0,2.0,1.0,1.0,15,440000.0
"appartements, à vendre",bourgogne,2.0,69.0,74.0,2.0,2.0,2.0,1,18500.0
"appartements, à vendre",sidi bernoussi,2.0,74.0,97.0,2.0,1.0,1.0,20,550000.0
"appartements, à vendre",sidi bernoussi,1.0,77.0,77.0,2.0,2.0,1.0,15,750000.0
"appartements, à vendre",aïn sebaâ,2.0,74.0,74.0,2.0,2.0,2.0,1,750000.0
"appartements, à vendre",aïn sebaâ,2.0,63.0,63.0,1.0,1.0,1.0,1,661200.0
"appartements, à vendre",racine,5.0,130.0,130.0,2.0,2.0,2.0,10,2300000.0
"appartements, à vendre",aïn sebaâ,1.0,69.0,69.0,2.0,2.0,1.0,1,759000.0
"appartements, à vendre",aïn sebaâ,6.0,106.0,156.0,4.0,2.0,1.0,5,1440000.0
"appartements, à vendre",oulfa,0.0,92.0,104.0,2.0,2.0,2.0,10,820000.0
"appartements, à vendre",maarif,2.0,97.0,110.0,2.0,2.0,2.0,10,1350000.0
"appartements, à vendre",laimoune,3.0,82.0,82.0,2.0,2.0,1.0,1,1370000.0
"appartements, à vendre",aïn borja,1.0,80.0,80.0,2.0,1.0,1.0,10,800000.0
"appartements, à vendre",maarif,4.0,72.0,94.0,2.0,1.0,1.0,10,1250000.0
"appartements, à vendre",oulfa,0.0,74.0,145.0,2.0,2.0,2.0,15,1300000.0
"appartements, à vendre",sidi bernoussi,1.0,57.0,60.0,2.0,1.0,1.0,5,480000.0
"appartements, à vendre",californie,4.0,85.0,85.0,2.0,1.0,1.0,1,7500.0
"appartements, à vendre",quartier des hôpitaux,1.0,95.0,139.0,3.0,2.0,1.0,15,990000.0
"appartements, à vendre",sidi moumen,2.0,94.0,94.0,3.0,2.0,1.0,1,921200.0
"appartements, à vendre",hay hassani,5.0,54.0,54.0,1.0,1.0,1.0,1,750000.0
"appartements, à vendre",sidi moumen,2.0,94.0,94.0,3.0,2.0,1.0,1,921200.0
"appartements, à vendre",sidi moumen,4.0,95.0,95.0,3.0,2.0,1.0,1,9200.0
"appartements, à vendre",sidi moumen,1.0,96.0,113.0,3.0,2.0,1.0,1,992750.0
"appartements, à vendre",hay hassani,2.0,90.0,90.0,2.0,2.0,1.0,1,1170000.0
"appartements, à vendre",oulfa,1.0,183.0,45.0,3.0,2.0,1.0,1,1845750.0
"appartements, à vendre",hay hassani,1.0,136.0,183.0,3.0,2.0,1.0,1,1632000.0
"appartements, à vendre",sbata,1.0,116.0,116.0,3.0,2.0,1.0,1,9000.0
